feature,Description
linka026__tu,Number of payday inquiries in the last 3 years
linka027__tu,Number of days since most recent payday inquiry
linka028__tu,"Number of utility inquiries in last 3 years (cable/dish/satellite, gas, electric, mobile, and landline)"
linka021__tu,"Number of credit inquiries in the last year.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka020__tu,"Number of credit inquiries in the last 3 years.  
These include credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka006__tu,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka003__tu,"Number of other inquiries in the last 2 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka025__tu,"Number of other inquiries in the last 3 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linka011__tu,Number of checks ordered in the last 3 years
linka005__tu,Average number of checks ordered in the last 3 years
linka010__tu,Maximum number of checks ordered in a single order in the last 3 years
linka040__tu,Minimum number of checks ordered in a single order in the last 3 years
linka033__tu,Number of check orders in the last month
linka034__tu,Number of check orders in the last 2 months
linka035__tu,Number of check orders in the last 3 months
linka036__tu,Number of check orders in the last 6 months
linka007__tu,Number of check orders in the last year
linka037__tu,Number of check orders in the last 2 years
linka008__tu,Number of check orders in the last 3 years
linka009__tu,Number of days since most recent check order
linka039__tu,Number of days since first (oldest) check order
linka042__tu,Number of checking account closures for cause in the last month
linka043__tu,Number of checking account closures for cause in the last 2 months
linka044__tu,Number of checking account closures for cause in the last 3 months
linka015__tu,Number of checking account closures for cause in the last 6 months
linka045__tu,Number of checking account closures for cause in the last year
linka046__tu,Number of checking account closures for cause in the last 2 years
linka047__tu,Number of checking account closures for cause in the last 3 years
linka017__tu,Number of checking account closures for cause in the last 5 years
linka018__tu,Number of days since most recent checking account closure for cause
linka019__tu,Number of days since first checking account closure for cause
linka041__tu,Average number of days between checking account closures for cause
linka012__tu,Number of unpaid checking account closures for cause in the last 2 years
linka014__tu,Number of unpaid checking account closures for cause in the last 5 years
linka016__tu,Number of paid checking account closures for cause in the last 5 years
linka013__tu,Total dollar amount of unpaid checking account closures for cause in the last 4 years
linka038__tu,Number of reported accounts consumer is actively accessing/transacting on
linka054__tu,Number of open (unpaid) non-sufficient funds in the last month
linka055__tu,Number of open (unpaid) non-sufficient funds in the last 2 months
linka056__tu,Number of open (unpaid) non-sufficient funds in the last 3 months
linka057__tu,Number of open (unpaid) non-sufficient funds in the last 6 months
linka058__tu,Number of open (unpaid) non-sufficient funds in the last year
linka059__tu,Number of open (unpaid) non-sufficient funds in the last 2 years
linka031__tu,Number of open (unpaid) non-sufficient funds in the last 3 years
linka080__tu,Number of days since last (most recent) open (unpaid) non-sufficient funds
linka060__tu,Total amount of open (unpaid) non-sufficient funds in the last month
linka061__tu,Total amount of open (unpaid) non-sufficient funds in the last 2 months
linka062__tu,Total amount of open (unpaid) non-sufficient funds in the last 3 months
linka063__tu,Total amount of open (unpaid) non-sufficient funds in the last 6 months
linka064__tu,Total amount of open (unpaid) non-sufficient funds in the last year
linka065__tu,Total amount of open (unpaid) non-sufficient funds in the last 2 years
linka066__tu,Total amount of open (unpaid) non-sufficient funds in the last 3 years
linka082__tu,Amount of largest open (unpaid) non-sufficient funds (single check)
linka067__tu,Number of paid non-sufficient funds in the last month
linka068__tu,Number of paid non-sufficient funds in the last 2 months
linka069__tu,Number of paid non-sufficient funds in the last 3 months
linka070__tu,Number of paid non-sufficient funds in the last 6 months
linka071__tu,Number of paid non-sufficient funds in the last year
linka072__tu,Number of paid non-sufficient funds in the last 2 years
linka032__tu,Number of paid non-sufficient funds in the last 3 years
linka081__tu,Number of days since last (most recent) paid non-sufficient funds
linka084__tu,Minimum days taken to pay a non-sufficient funds
linka085__tu,Maximum days taken to pay a non-sufficient funds
linka073__tu,Total amount of paid non-sufficient funds in the last month
linka074__tu,Total amount of paid non-sufficient funds in the last 2 months
linka075__tu,Total amount of paid non-sufficient funds in the last 3 months
linka076__tu,Total amount of paid non-sufficient funds in the last 6 months
linka077__tu,Total amount of paid non-sufficient funds in the last year
linka078__tu,Total amount of paid non-sufficient funds in the last 2 years
linka079__tu,Total amount of paid non-sufficient funds in the last 3 years
linka083__tu,Amount of largest paid non-sufficient funds (single check)
linkb004__tu,Total assessed value of the parcel's land and improvement values as provided by the county or local taxing/assessment authority
linkb011__tu,Most recently reported deed mortgage term based on recording date (in months and capped at 720)
linkb012__tu,Presence of a foreclosure
linkc006__tu,"Number of inquiries in the last 3 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc020__tu,"Number of inquiries in the last 6 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc007__tu,"Number of inquiries in the last 24 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc048__tu,"Number of inquiries in the last 7 years.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc025__tu,Number of inquiries for alternative auto financing in the last 3 months
linkc026__tu,Number of inquiries for alternative auto financing in the last 6 months
linkc027__tu,Number of inquiries for alternative auto financing in the last 9 months
linkc028__tu,Number of inquiries for alternative auto financing in the last 12 months
linkc029__tu,Number of inquiries for alternative auto financing in the last 24 months
linkc024__tu,Number of inquiries for alternative auto financing in the last 7 years
linkc031__tu,Number of payday loan inquiries in the last 3 months
linkc032__tu,Number of payday loan inquiries in the last 6 months
linkc033__tu,Number of payday loan inquiries in the last 9 months
linkc034__tu,Number of payday loan inquiries in the last 12 months
linkc035__tu,Number of payday loan inquiries in the last 24 months
linkc030__tu,Number of payday loan inquiries in the last 7 years
linkc038__tu,Number of rent-to-own inquiries in the last 3 months
linkc039__tu,Number of rent-to-own inquiries in the last 6 months
linkc040__tu,Number of rent-to-own inquiries in the last 9 months
linkc041__tu,Number of rent-to-own inquiries in the last 12 months
linkc042__tu,Number of rent-to-own inquiries in the last 24 months
linkc037__tu,Number of rent-to-own inquiries in the last 7 years
linkc036__tu,"Number of inquiries for other financial services (includes consumer finance, furniture finance, credit cards, and title loans) in the last 7 years"
linkc008__tu,"Number of paid charge-offs in the last 3 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc009__tu,"Number of paid charge-offs in the last 24 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc050__tu,"Number of paid charge-offs in the last 7 years.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc012__tu,Number of paid alternative auto finance charge-offs in the last 24 months
linkc011__tu,Number of paid payday loan charge-offs in the last 24 months
linkc010__tu,Number of paid rent-to-own charge-offs in the last 24 months
linkc043__tu,"Number of unpaid charge-offs in the last 3 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc044__tu,"Number of unpaid charge-offs in the last 6 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc045__tu,"Number of unpaid charge-offs in the last 9 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc046__tu,"Number of unpaid charge-offs in the last 12 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc047__tu,"Number of unpaid charge-offs in the last 24 months.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc049__tu,"Number of unpaid charge-offs in the last 7 years.  
This includes payday, alternative auto finance, rent-to-own, and other financial services (consumer finance, furniture finance, credit cards, and title loans)"
linkc005__tu,Number of unpaid alternative auto finance charge-offs in the last 24 months
linkc004__tu,Number of unpaid payday loan charge-offs in the last 24 months
linkc051__tu,Number of unpaid rent-to-own charge-offs in the last 24 months
linkd001__tu,"An address-level fraud indicator from the club and continuity data identifying: 
(a) high-order delivery points with 95% write-off rate (Flag = 1)
(b) reported fraudulent activity by one or more contributors (Flag = 1)
(c) address not associated with fraud in this database (Flag = 0)
(d) address not found in this database (Flag - missing)"
linkd004__tu,"Number of continuity club enrollments within last 3 months 
(includes repeat enrollments in the same club)"
linkd014__tu,Total dollar amount of transactions placed in the last 5 years
linkd008__tu,Total number of days since the last payment was made
linkd002__tu,Number of write-offs within the last 5 magazine subscriptions (includes renewals)
linkd003__tu,"Number of write-offs within the last 5 continuity club (e.g., book sets delivered over time) and subscription transactions"
linkd005__tu,Number of merchandise (non-publication goods) write-off transactions within the last 5 years
linkd009__tu,Number of write-offs in the last 5 years of club/subscription transactions (orders or shipments)
linkd011__tu,Number of club write-offs in the last 5 years
linkd010__tu,Write-off percent:  total number of write-off club/subscription transactions within the last 5 years divided by total number of club/subscription transactions within the last 5 years
linkd013__tu,Number of days since last club/subscription transaction write-off
linkd006__tu,Number of single payment (order is for a single product with a single delivery and one invoice) write-off transactions within the last 5 years
linkd007__tu,Total dollar amount sent to collections for club/subscriptions in the last 5 years
linkd012__tu,Number of days since last club/subscription return
linkt001__tu,Number of non-military addresses in last 7 years
linkt002__tu,Number of months at current address
linkt003__tu,Number of non-military non-corroborated addresses in past 12 months
linkt004__tu,Number of non-military non-corroborated addresses in last 5 years
linkt006__tu,Number of derogatory public records
linkt007__tu,Months since most recent derogatory public record
linkt008__tu,Number of public record bankruptcies in the last 24 months
linkt009__tu,Number of tradeline bankruptcies
linkt010__tu,Number of public record bankruptcies 
linkt011__tu,Number of foreclosure trades
linkf001__tu,Hit flag
linkf002__tu,Number of NSF within last 12 months
linkf003__tu,Number of NSF within last 18 months
linkf004__tu,Number of NSF within last 24 months
linkf005__tu,Number of NSF within last 3 months
linkf006__tu,Number of NSF within last 6 months
linkf007__tu,Number of NSF within last 9 months
linkf008__tu,Amount of NSF within last 12 months
linkf009__tu,Amount of NSF within last 18 months
linkf010__tu,Amount of NSF within last 24 months
linkf011__tu,Amount of NSF within last 3 months
linkf012__tu,Amount of NSF within last 6 months
linkf013__tu,Amount of NSF within last 9 months
linkf014__tu,Amount of NSF within last 7 years
linkf015__tu,Number of NSF within last 7 years
linkf016__tu,Age of newest NSF on open and closed tradelines (months)
linkf017__tu,Age of oldest NSF on open and closed tradelines (months)
linkf018__tu,Number of satisfactory ACH transactions within last 12 months
linkf019__tu,Number of satisfactory ACH transactions within last 18 months
linkf020__tu,Number of satisfactory ACH transactions within last 24 months
linkf021__tu,Number of satisfactory ACH transactions within last 3 months
linkf022__tu,Number of satisfactory ACH transactions within last 6 months
linkf023__tu,Number of satisfactory ACH transactions within last 9 months
linkf024__tu,Amount of satisfactory ACH transactions within last 12 months
linkf025__tu,Amount of satisfactory ACH transactions within last 18 months
linkf026__tu,Amount of satisfactory ACH transactions within last 24 months
linkf027__tu,Amount of satisfactory ACH transactions within last 3 months
linkf028__tu,Amount of satisfactory ACH transactions within last 6 months
linkf029__tu,Amount of satisfactory ACH transactions within last 9 months
linkf030__tu,Amount of satisfactory ACH transactions within last 7 years
linkf031__tu,Number of satisfactory ACH transactions within last 7 years
linkf032__tu,Y / N indicator of lender-reported bankruptcy
linkf033__tu,Last payment amount
linkf034__tu,Last payment amount ONLINE LENDER
linkf035__tu,Number of open delinquent and charge-off trade segments ONLINE LENDER
linkf036__tu,Number of inquiries within last 1 month ONLINE LENDER
linkf037__tu,Number of inquiries within last 3 months ONLINE LENDER
linkf038__tu,Number of inquiries all time ONLINE LENDER
linkf039__tu,"Number of charge-off, collection and return trade segments opened within last 12 months ONLINE LENDER"
linkf040__tu,Number of lenders / locations with inquiries or trades all time ONLINE LENDER
linkf041__tu,Number of lenders / locations with inquiries or trades within last 1 month ONLINE LENDER
linkf042__tu,Number of lenders / locations with inquiries or trades within last 3 months ONLINE LENDER
linkf043__tu,Number of trades opened within last 12 months ONLINE LENDER
linkf044__tu,"Number of open, collection or charge-off trade segments ONLINE LENDER"
linkf045__tu,"Total dollar amount of closed delinquent, return and collection trade segments within last 12 months ONLINE LENDER"
linkf046__tu,"Number of closed delinquent, return and collection trade segments within last 12 months ONLINE LENDER"
linkf047__tu,Number of trade segments opened within last 12 months ONLINE LENDER
linkf048__tu,Total balance on open or collection trade segments ONLINE LENDER
linkf049__tu,Last payment amount STOREFRONT LENDER
linkf050__tu,Number of open delinquent and charge-off trade segments STOREFRONT LENDER
linkf051__tu,Number of inquiries within last 1 month STOREFRONT LENDER
linkf052__tu,Number of inquiries within last 3 months STOREFRONT LENDER
linkf053__tu,Number of inquiries all time STOREFRONT LENDER
linkf054__tu,"Number of charge-off, collection and return trade segments opened within last 12 months STOREFRONT LENDER"
linkf055__tu,Number of lenders / locations with inquiries or trades all time STOREFRONT LENDER
linkf056__tu,Number of lenders / locations with inquiries or trades within last 1 month STOREFRONT LENDER
linkf057__tu,Number of lenders / locations with inquiries or trades within last 3 months STOREFRONT LENDER
linkf058__tu,Number of trades opened within last 12 months STOREFRONT LENDER
linkf059__tu,"Number of open, collection or charge-off trade segments STOREFRONT LENDER"
linkf060__tu,"Total dollar amount of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER"
linkf061__tu,"Number of closed delinquent, return and collection trade segments within last 12 months STOREFRONT LENDER"
linkf062__tu,Number of trade segments opened within last 12 months STOREFRONT LENDER
linkf063__tu,Total balance on open or collection trade segments STOREFRONT LENDER
linkf064__tu,Number of charged-off and open past due trade segments
linkf065__tu,Number of inquiries within last 24 hours
linkf066__tu,Number of inquiries within last 3 days
linkf067__tu,Number of inquiries within last 7 days
linkf068__tu,Number of inquiries all time
linkf069__tu,Number of Auto inquiries all time
linkf070__tu,"Number of charged-off, collection, and return trade segments opened within last 12 months"
linkf071__tu,Number of lenders / locations with inquiries or trades all time
linkf072__tu,Number of lenders / locations with inquiries or trades within last 1 month
linkf073__tu,Number of lenders / locations with inquiries or trades within last 3 months
linkf074__tu,Number of trades opened within last 12 months
linkf075__tu,"Number of open, collection or charge-off trade segments"
linkf076__tu,"Total dollar amount of return, collection, and closed delinquent trade segments within last 12 months"
linkf077__tu,"Number of return, collection, and closed delinquent trade segments within last 12 months"
linkf078__tu,Number of trade segments opened within last 12 months
linkf079__tu,Total balance on open or collection trade segments
linkf080__tu,Total amount past due within last 12 months (excluding collection)
linkf081__tu,Days since most recent delinquency
linkf082__tu,Number of open trades with balance > 0 (excluding collection)
linkf083__tu,Number of inquiries within last 1 month
linkf084__tu,Number of inquiries within last 2 months
linkf085__tu,Number of inquiries within last 3 months
linkf086__tu,Number of inquiries within last 6 months
linkf087__tu,Number of inquiries within last 9 months
linkf088__tu,Number of inquiries within last 12 months
linkf089__tu,Number of inquiries within last 18 months
linkf090__tu,Number of inquiries within last 24 months
linkf091__tu,Number of trades
linkf092__tu,Number of trades within last 3 months
linkf093__tu,Number of trades within last 6 months
linkf094__tu,Number of trades within last 9 months
linkf095__tu,Number of trades within last 12 months
linkf096__tu,Number of trades within last 18 months
linkf097__tu,Number of trades within last 24 months
linkf098__tu,Number of satisfactory trades
linkf099__tu,Number of satisfactory trades with an age of at least 3 months
linkf100__tu,Number of satisfactory trades with an age of at least 6 months
linkf101__tu,Number of satisfactory trades with an age of at least 9 months
linkf102__tu,Number of satisfactory trades with an age of at least 12 months
linkf103__tu,Number of satisfactory trades with an age of at least 18 months
linkf104__tu,Number of satisfactory trades with an age of at least 24 months
linkf105__tu,Time (days) since most recent inquiry or trade update
linkf106__tu,Time (days) since oldest inquiry or trade update
linkf107__tu,Number of lenders / locations with inquiries within last 7 years
linkf108__tu,Number of lenders / locations with inquiries within last 1 month
linkf109__tu,Number of lenders / locations with inquiries within last 2 months
linkf110__tu,Number of lenders / locations with inquiries within last 3 months
linkf111__tu,Number of lenders / locations with inquiries within last 6 months
linkf112__tu,Number of lenders / locations with inquiries within last 9 months
linkf113__tu,Number of lenders / locations with inquiries within last 12 months
linkf114__tu,Number of lenders / locations with inquiries within last 18 months
linkf115__tu,Number of lenders / locations with inquiries within last 24 months
linkf116__tu,Number of trade segments
linkf117__tu,Number of trade segments within last 3 months
linkf118__tu,Number of trade segments within last 6 months
linkf119__tu,Number of trade segments within last 9 months
linkf120__tu,Number of trade segments within last 12 months
linkf121__tu,Number of trade segments within last 18 months
linkf122__tu,Number of trade segments within last 24 months
linkf123__tu,Average balance of open trades (excluding collection)
linkf124__tu,Total balance of open trades (excluding collection)
linkf125__tu,Number of trade segments (excluding new trades)
linkf126__tu,Number of trade segments (excluding new trades) within last 3 months
linkf127__tu,Number of trade segments (excluding new trades) within last 6 months
linkf128__tu,Number of trade segments (excluding new trades) within last 9 months
linkf129__tu,Number of trade segments (excluding new trades) within last 12 months
linkf130__tu,Number of trade segments (excluding new trades) within last 18 months
linkf131__tu,Number of trade segments (excluding new trades) within last 24 months
linkf132__tu,Consumer-stated income included in most recent inquiry
linkf133__tu,Average balance of open trades (including collection)
linkf134__tu,Number of open trades with balance > 0 (including collection)
linkf135__tu,Total balance of open trades (including collection)
linkf136__tu,Highest credit among all open trades
linkf137__tu,Number of distinct bank accounts within last 12 months
linkf138__tu,Number of distinct bank accounts within last 18 months
linkf139__tu,Number of distinct bank accounts within last 1 month
linkf140__tu,Number of distinct bank accounts within last 24 months
linkf141__tu,Number of distinct bank accounts within last 2 months
linkf142__tu,Number of distinct bank accounts within last 3 months
linkf143__tu,Number of distinct bank accounts within last 6 months
linkf144__tu,Number of distinct bank accounts within last 9 months
linkf145__tu,Number of distinct bank accounts
linkf146__tu,Number of distinct cell phones within last 12 months
linkf147__tu,Number of distinct cell phones within last 18 months
linkf148__tu,Number of distinct cell phones within last 1 month
linkf149__tu,Number of distinct cell phones within last 24 months
linkf150__tu,Number of distinct cell phones within last 2 months
linkf151__tu,Number of distinct cell phones within last 3 months
linkf152__tu,Number of distinct cell phones within last 6 months
linkf153__tu,Number of distinct cell phones within last 9 months
linkf154__tu,Number of distinct cell phones
linkf155__tu,Number of distinct email addresses within last 12 months
linkf156__tu,Number of distinct email addresses within last 18 months
linkf157__tu,Number of distinct email addresses within last 1 month
linkf158__tu,Number of distinct email addresses within last 24 months
linkf159__tu,Number of distinct email addresses within last 2 months
linkf160__tu,Number of distinct email addresses within last 3 months
linkf161__tu,Number of distinct email addresses within last 6 months
linkf162__tu,Number of distinct email addresses within last 9 months
linkf163__tu,Number of distinct email addresses
linkf164__tu,Number of distinct home phone within last 12 months
linkf165__tu,Number of distinct home phones within last 18 months
linkf166__tu,Number of distinct home phones within last 1 month
linkf167__tu,Number of distinct home phones within last 24 months
linkf168__tu,Number of distinct home phones within last 2 months
linkf169__tu,Number of distinct home phones within last 3 months
linkf170__tu,Number of distinct home phones within last 6 months
linkf171__tu,Number of distinct home phones within last 9 months
linkf172__tu,Number of distinct home phones
linkf173__tu,Number of distinct zip codes within last 12 months
linkf174__tu,Number of distinct zip codes within last 18 months
linkf175__tu,Number of distinct zip codes within last 1 month
linkf176__tu,Number of distinct zip codes within last 24 months
linkf177__tu,Number of distinct zip codes within last 2 monthss
linkf178__tu,Number of distinct zip codes within last 3 months
linkf179__tu,Number of distinct zip codes within last 6 months
linkf180__tu,Number of distinct zip codes within last 9 months
linkf181__tu,Number of distinct zip codes
linkf182__tu,Days since most recent delinquent trade opened within last 12 months
linkf183__tu,Days since most recent payment
linkf184__tu,Days since most recent return payment
linkf185__tu,Age of newest inquiry ONLINE LENDER
linkf186__tu,Days since most recent delinquent trade opened within last 12 months ONLINE LENDER
linkf187__tu,Days since most recent payment ONLINE LENDER
linkf188__tu,Days since most recent return payment ONLINE LENDER
linkf189__tu,Age of newest inquiry STOREFRONT LENDER
linkf190__tu,Days since most recent delinquent trade opened within last 12 months STOREFRONT LENDER
linkf191__tu,Days since most recent payment STOREFRONT LENDER
linkf192__tu,Days since most recent return payment STOREFRONT LENDER
linkf193__tu,Age of newest inquiry (days)
linkf194__tu,Age of newest trade (days)
linkf195__tu,Age of oldest inquiry (days)
linkf196__tu,Age of oldest trade (days)
linkf197__tu,Total Good ACH events
linkf198__tu,Total Bad ACH events in last 1 Month
linkf199__tu,Total Good ACH amount
linkf200__tu,Total Bad ACH amount in last 1 Month
linkf201__tu,Total Good ACH events in last 1 Month
linkf202__tu,Total Bad ACH events in last 3 Months
linkf203__tu,Total Good ACH amount in last 1 Month
linkf204__tu,Total Bad ACH amount in last 3 Months
linkf205__tu,Total Good ACH events in last 3 Months
linkf206__tu,Total Bad ACH events in last 6 Months
linkf207__tu,Total Good ACH amount in last 3 Months
linkf208__tu,Total Bad ACH amount in last 6 Months
linkf209__tu,Total Good ACH events in last 6 Months
linkf210__tu,Total Bad ACH events
linkf211__tu,Total Good ACH amount in last 6 Months
linkf212__tu,Total Bad ACH amount
linkf213__tu,Ratio of total balance to highest credit for all currently open trades.
scr_linka2__tu,CreditVision Link A 2.0 Score
scr_alta2__tu,CreditVision Alternative A 2.0 Score
scr_linkb2__tu,CreditVision Link B 2.0 Score
scr_altb2__tu,CreditVision Alternative B  2.0 Score
cvlst_s1__tu,Credit Vision Link Short-Term Loan Risk Score (short-term loan)
cvlst_i1__tu,Credit Vision Link Short-Term Loan Risk Score (installment loan)
eadms1__tu,"Scorecard: 1=No Hit, 2=No Score, 3=Thin (1-4 non-authorized user trades), 4=Thick (5+ non-authorized user trades)"
indflag__tu,Deceased
observationdate__tu,YYYY-MM-DD
dpd60plus__tu,"1: proxy auto loan present, was 60 days past due or worse within 24-mos.
0: proxy auto loan present, was not 60 days past due or worse within 24-mos.
blank: no proxy auto loan present"
uniqueid__tu,CUSTOMER INPUT
bigaccountid__tu,CUSTOMER INPUT
bigdebtorid__tu,CUSTOMER INPUT
acctno__ln,Unique customer account number provided on input 
lexid__ln,"Unique, proprietary identity linking technology that returns a numerical value identifying each consumer"
auto_index__ln,Internal value
auto_score_name__ln,Name of the score model
auto_score __ln,3-digit score value
auto_reason1__ln,3-byte reason code
auto_reason2__ln,3-byte reason code
auto_reason3__ln,3-byte reason code
auto_reason4__ln,3-byte reason code
auto_reason5__ln,3-byte reason code
bankcard_index__ln,Internal value
bankcard_score_name__ln,Name of the score model
bankcard_score __ln,3-digit score value
bankcard_reason1__ln,3-byte reason code
bankcard_reason2__ln,3-byte reason code
bankcard_reason3__ln,3-byte reason code
bankcard_reason4__ln,3-byte reason code
bankcard_reason5__ln,3-byte reason code
short_term_lending_index__ln,Internal value
short_term_lending_score_name__ln,Name of the score model
short_term_lending_score __ln,3-digit score value
short_term_lending_reason1__ln,3-byte reason code
short_term_lending_reason2__ln,3-byte reason code
short_term_lending_reason3__ln,3-byte reason code
short_term_lending_reason4__ln,3-byte reason code
short_term_lending_reason5__ln,3-byte reason code
telecommunications_index__ln,Internal value
telecommunications_score_name__ln,Name of the score model
telecommunications_score __ln,3-digit score value
telecommunications_reason1__ln,3-byte reason code
telecommunications_reason2__ln,3-byte reason code
telecommunications_reason3__ln,3-byte reason code
telecommunications_reason4__ln,3-byte reason code
telecommunications_reason5__ln,3-byte reason code
custom_index__ln,Internal value
custom_score_name__ln,Name of the score model
custom_score __ln,3-digit score value
custom_reason1__ln,3-byte reason code
custom_reason2__ln,3-byte reason code
custom_reason3__ln,3-byte reason code
custom_reason4__ln,3-byte reason code
custom_reason5__ln,3-byte reason code
inputprovidedfirstname__ln,Indicates if the first name of the subject was provided on input
inputprovidedlastname__ln,Indicates if the last name of the subject was provided on input
inputprovidedstreetaddress__ln,Indicates if the street address for the subject was provided on input
inputprovidedcity__ln,Indicates if the city for the subject was provided on input
inputprovidedstate__ln,Indicates if the state for the subject was provided on input
inputprovidedzipcode__ln,Indicates if the ZIP code for the subject was provided on input
inputprovidedssn__ln,Indicates if the SSN (Social Security Number) for the subject was provided on input
inputprovideddateofbirth__ln,Indicates if the DOB (date of birth) for the subject was provided on input
inputprovidedphone__ln,Indicates if the phone number for the subject was provided on input
inputprovidedlexid__ln,Indicates if the LexID for the subject was provided on input
subjectrecordtimeoldest__ln,Time (in months) since the oldest recorded event on file for subject
subjectrecordtimenewest__ln,Time (in months) since the most recently reported event on file for subject
subjectnewestrecord12month__ln,Indicates subject's last reported event on file was within the last 12 months
subjectactivityindex03month__ln,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported within the past three months
subjectactivityindex06month__ln,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past six months
subjectactivityindex12month__ln,A risk index summarizing derogatory and non-derogatory source activity for the subject as reported on file within the past 12 months
subjectage__ln,"Indicates subject's age in years, based on date of birth records found on file 

(Note: This attribute cannot be used to discriminate against subjects over the age of 62)"
subjectdeceased__ln,Records on file indicate subject is reported as being deceased
subjectssncount__ln,Total number of unique SSNs on file for subject
subjectstabilityindex__ln,Modeled risk index indicating the subject's stability in fulfilling a credit obligation on the basis of address history and non-derogatory public records on file
subjectstabilityprimaryfactor__ln,Indicates the primary factor behind the value returned for the SubjectStabilityIndex attribute
subjectabilityindex__ln,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
subjectabilityprimaryfactor__ln,Indicates the primary factor behind the value returned for the SubjectAbilityIndex attribute
subjectwillingnessindex__ln,Modeled risk index indicating the subject's willingness to fulfill a credit obligation on the basis of recent or historical non-derogatory and derogatory public record activity on file
subjectwillingnessprimaryfactor__ln,Indicates the primary factor behind the value returned for the SubjectWillingnessIndex attribute
confirmationsubjectfound__ln,"Indicates if LexisNexis is able to identify and confirm the subject based on identity elements (name, address, phone, and SSN records) on file"
confirmationinputname__ln,Indicates input subject's name is confirmed by records on file
confirmationinputdob__ln,Indicates input date of birth (DOB) is confirmed by records on file
confirmationinputssn__ln,Indicates input Social Security Number (SSN) is confirmed by records on file
confirmationinputaddress__ln,Indicates input address is confirmed by records on file
sourcenonderogprofileindex__ln,"Index summarizing the number and nature of the non-derogatory sources reporting the depth and breadth of the subject's reporting history, excluding property and derogatory court records"
sourcenonderogcount__ln,Total non-derogatory source types on file for subject
sourcenonderogcount03month__ln,Total non-derogatory source types on file for subject reported within the last three months
sourcenonderogcount06month__ln,Total non-derogatory source types on file for subject reported within the last six months
sourcenonderogcount12month__ln,Total non-derogatory source types on file for subject reported within the last 12 months
sourcecredheadertimeoldest__ln,Time (in months) since the subject first reported by a credit header source on file
sourcecredheadertimenewest__ln,Time (in months) since the subject last reported by a credit header source on file
sourcevoterregistration__ln,Indicates voter registration record on subject's file
educationattendance__ln,Indicates subject attended college based on student directory information on file
educationevidence__ln,"Indicates evidence of college attendance on the subject's file based on college institution address, professional licensure, student directories, and email domains such as '.edu' that are affiliated with institutions of higher education "
educationprogramattended__ln,Indicates the type of program most recently attended based on student directories and other college attendance sources on subject's file
educationinstitutionprivate__ln,Indicates most recently attended program is a private institution based on student directories and other college attendance sources on subject's file
educationinstitutionrating__ln,"Indicates the education program rating for the most recently attended program on subject's file, based on student directories and other college attendance sources. Rating is based on various institution statistics and national ratings (Tier 1 = highest rating, Tier 6 =lowest rating)"
profliccount__ln,Total number of active and inactive professional licenses on subject's file
proflictypecategory__ln,"Most recent professional license type category on subject's file, grouped based on published U.S. Census occupation data"
businessassociation__ln,Indicates the subject has a formal connection with a business based on associations with business records on the subject's file
businessassociationindex__ln,Index indicating the status of the subject's formal business associations on file
